term,estimate,std.error,statistic,p.value
(Intercept),0.339338974614932,0.11092486689133667,3.059178560451666,0.002279046787963311
matches_before,0.0032705107142438944,0.013341781846015926,0.24513297788784655,0.8064041689953495
wins_before,-0.006360828907420441,0.023470946064026048,-0.27100862871350945,0.7864407757847448
win_pct_before,0.007927517521060114,0.2694258228239716,0.029423748020766107,0.9765325511535736
home_win_pct_before,0.1084298511122283,0.09216146314427726,1.176520504481175,0.23966918307698043
away_win_pct_before,0.15457960712153954,0.11667506016764526,1.3248727440074246,0.185518460955275
prev_season_win_pct,-0.07976162205364425,0.32858145626821433,-0.24274535440775594,0.8082528504558122
prev_home_win_pct,0.034365155428176086,0.12827313069197954,0.26790610974247325,0.7888272849750914
prev_away_win_pct,0.08687635706789518,0.20837290349814144,0.4169273240878465,0.6768217703949475
prev_bat_first_win_pct,0.05093687581597813,0.12460606783060656,0.4087832695693707,0.682786949973958
last_3_wins,-0.03242391011073773,0.02495882204496832,-1.2990961693752838,0.19421278278788812
is_home,0.10827633257445114,0.03306416144774558,3.2747339667322417,0.0010942044509848938
